"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"in-ad2e8c074f134c8b","indeed","https://pk.indeed.com/viewjob?jk=ad2e8c074f134c8b","http://pk.indeed.com/job/system-support-engineer-ad2e8c074f134c8b","System Support Engineer","Clearpath Engineering & Services (Pvt.) Ltd","Rawalpindi, PPB, PK","2024-12-28","fulltime","direct_data","yearly",476563.0,603436.0,"USD",False,"","","","","**Location:** Bahria Town Phase 7, Rawalpindi

**Qualifications:** Intermediate Or Fresh Graduate.

**Experience: Minimum** One Year

**Job Description:**

1\\) Hands on working experience on Computer hardware and software

2\\) Hands on working experience of MS Office 365 and Windows applications.

4\\) Hands on working experience on LAN and WAN network devices.

5\\) Hands on working experience on system and networks Trouble\\- Shootings.

6\\) Hands on working experience on Windows and MAC Operating systems.

7\\) Repairing and services of printers and scanners will consider as a plus point.

Job Type: Full\\-time

Pay: Rs40,000\\.00 \\- Rs50,000\\.00 per month

Education:

* Intermediate (Preferred)

Experience:

* Relavent: 1 year (Preferred)

Expected Start Date: 06/01/2025","","https://pk.indeed.com/cmp/Clearpath-Engineering-&-Services-(pvt.)-Ltd","","","","","",""
"in-8e433eda99ed5404","indeed","https://pk.indeed.com/viewjob?jk=8e433eda99ed5404","http://pk.indeed.com/job/rd-team-lead-software-development-8e433eda99ed5404","R&D Team Lead - Software Development","Services79","Islamabad, PIS, PK","2024-12-28","fulltime","","","","","",False,"","","","","About the Company Software House Description

**R\\&D Team Lead \\- Software Development** 

**About the Client:** 

Komatsu Pakistan Soft is a fully owned subsidiary of Komatsu Limited Japan, and we are a part of Komatsu Group of Companies. Komatsu Pakistan Soft (Pvt.) Limited is into operation since 1999\\. We excel in providing enterprise software application solutions, IT consultancy and outsourcing services. Our vision, utter commitment, sheer dedication, unmatched teamwork and customer\\-centric approach have helped us evolve into a forerunner of innovation and ingenuity within Komatsu group as well as across the global IT industry.

**Job Description**

We are seeking a highly skilled and experienced individual to join our software development team as an R\\&D Team Lead. He/she will be responsible for leading our research and development initiatives, driving innovation, and proactively leading a team of software engineers. This role requires strong technical expertise, critical thinking abilities, and the capacity to develop research based effective solutions. This lead role is vital in shaping our company's future through research, innovation, and development of cutting\\-edge software solutions.

**Your Impactful Goals Will Include:**

**R\\&D Leadership:**

· Lead and oversee the company's research and development efforts, aligning with the organization's strategic goals and objectives.

· Foster a culture of innovation and critical thinking within the R\\&D team, encouraging creative problem\\- solving and exploration of new technologies.

· Collaborate closely with managers and engineers to understand business requirements and drive research\\-based solutions.

· Conduct thorough research and analysis to identify opportunities for innovation solutions based on emerging technologies.

**Team Management and Development:**

· Lead and manage a team of software engineers, providing guidance, support, and mentorship.

· Facilitate an environment that promotes collaboration, knowledge sharing, and continuous learning through R\\&D.

· Set clear expectations; assign tasks, monitor, and report progress to ensure timely and high\\-quality delivery.

**Technical Expertise and Solution Development:**

· Utilize strong technical background to provide technical leadership and guidance to the R\\&D team.

· Drive the design, development, and implementation of cutting\\-edge software systems and architectures.

· Stay up to date with the latest advancements in software development, research methodologies, and emerging technologies.

**Collaboration and Communication:**

· Communicate and collaborate closely with management to align R\\&D efforts with defined business objectives.

· Providing regular updates on R\\&D initiatives, progress, and challenges with internal and external stakeholders for knowledge sharing.

· Proactively coordinate with solutions teams and initiate R\\&D for any required functionalities, features, technologies and platform upgrades.

· Strong technical background with expertise in modern software development languages, frameworks, and tools.

· Proven experience in leading and managing software development teams.

· Excellent critical thinking and problem\\-solving skills, with the ability to understand complex requirements and develop effective solutions.

· Strong research and analysis expertise, with the ability to identify and evaluate emerging technologies and trends.

· Experience in Agile/Scrum methodologies and an iterative development process.

· Proficiency in cloud technologies and services, preferably with experience in Azure.

· Ability to thrive in a fast\\-paced, dynamic work environment and manage multiple priorities

**This position demands:**

· 8\\-12 years of experience as in total.

· 5 years of experience in a team lead or managerial role

· Knowledge of .NET framework and related technologies

· Hands\\-on experience with system design and architecture

· Hands\\-on experience with cloud platforms (AWS, Azure, GCP)

· Knowledge of AI, ML, LLM

· Experience with Microservices \\& Containers

· Experience with Agile/Scrum Methodologies

· Knowledge of latest industry trends, ability to be innovative with problem\\-solving

· Experience with Power BI

· Dashboards \\& Reports Development

· DWH Knowledge

**Skills Required:**

· Project Development

· Power Query

· Power BI

· Microsoft Office Suite (Advance Excel, Visio)

· Dashboards \\& Reports Development

· DWH Knowledge

**Industry**

· Information Technology

**Employment Type** 

· This is a full\\-time on\\-site permanent role, 5 days a week

**Job Level** 

· This is a Senior Level Role with 8\\-12 years of experience

**Education**

· BS (CS) / BS (IT) / BS (SE)

**Location**

· Onsite \\- G\\-8 Markaz Islamabad

**Experience** 

· 8\\-12 years of experience

**Timings**

· 9 AM to 5:45 PM / 5 days on\\-site role

Job Type: Full\\-time

Pay: Rs800,000\\.00 \\- Rs1,000,000\\.00 per month

Work Location: In person","","https://pk.indeed.com/cmp/Services79","","","","1","less than $1M (USD)",""
"in-dd33eaa9da68cedd","indeed","https://pk.indeed.com/viewjob?jk=dd33eaa9da68cedd","http://pk.indeed.com/job/associate-software-engineer-dd33eaa9da68cedd","Associate Software Engineer","Envio by Vista","Islamabad, PIS, PK","2024-12-27","fulltime","","","","","",False,"","","","","**Job Description** 

**Job Title:** Associate Software Engineer  
**Location:** F\\-8 Markaz, Islamabad  
**Job Type:** Full\\-time  
**Shift:** Night Shift (6 PM \\- 2 AM) M\\-F  
**Application Deadline:** 31st December 2024

**About the Role:**  
We are seeking a passionate and driven Associate Software Engineer to join our dynamic team. If you excel in a fast\\-paced environment, enjoy solving complex problems, and have a strong desire to grow and learn, we’d love to hear from you!

**Requirements:** 

* Education: Bachelor’s degree in Computer Science or Software Engineering (4 years).
* Experience: 1\\-2 years of professional experience with PHP, Laravel, and WordPress.

**Skills:** 

* Proficiency in PHP, Laravel, and WordPress.
* Strong spoken English and excellent communication skills (a plus).
* Hands\\-on experience with WordPress (a significant advantage).
* Familiarity with front\\-end technologies, especially React JS (a plus).
* Good knowledge of HTML, CSS, JavaScript, and SEO best practices.
* Experience with RESTful APIs and integrating front\\-end and back\\-end services.
* Understanding of MVC design patterns.
* Quick learner with the ability to adapt to new technologies and challenges.
* A team player with a collaborative mindset.

**Work Conditions:** 

* Comfortable working night shifts.
* Ability to thrive in a fast\\-paced, dynamic work environment.

**What We Offer:** 

* Competitive salary.
* Opportunities for professional growth and career development.
* Collaborative and supportive team culture.
* Exposure to exciting and challenging projects.

If you meet the above criteria and are ready to embark on an exciting career journey, apply now! We can’t wait to meet you.

Job Type: Full\\-time

Application Deadline: 31/12/2024","","https://pk.indeed.com/cmp/Envio-By-Vista","","","","","",""
"in-7521ef3ecd858f29","indeed","https://pk.indeed.com/viewjob?jk=7521ef3ecd858f29","http://pk.indeed.com/job/nodejs-full-stack-developer-7521ef3ecd858f29","Node.Js Full Stack Developer","Dione","Islamabad, PIS, PK","2024-12-27","fulltime","","","","","",True,"","","","","Job Description:

We are seeking a skilled Full Stack Developer with expertise in Node.js to build and maintain robust, scalable, and high\\-performance web applications. You will work in an agile environment and collaborate closely with product managers, designers, and other engineers to create end\\-to\\-end solutions. The ideal candidate is someone who thrives in a fast\\-paced environment and has a deep understanding of full\\-stack development.

Key Responsibilities:

Develop and maintain backend APIs using Node.js and related technologies (Express.js, etc.).

Design and implement robust, scalable, and secure RESTful APIs.

Build and maintain front\\-end applications with React, Angular, or similar frameworks.

Integrate front\\-end interfaces with backend services.

Work with databases such as MongoDB, MySQL, or PostgreSQL.

Implement unit and integration tests to ensure the quality of code.

Collaborate with UI/UX designers to implement modern and intuitive user interfaces.

Optimize applications for maximum speed and scalability.

Troubleshoot, debug, and upgrade existing applications.

Collaborate with other developers in code reviews, and share knowledge of best practices.

Stay up to date with emerging trends in web development, technologies, and methodologies.

Required Skills:

Strong proficiency in Node.js and back\\-end development frameworks (e.g., Express.js).

Solid experience with React, Angular, or other front\\-end frameworks.

Experience with RESTful APIs and GraphQL.

Hands\\-on experience with NoSQL (e.g., MongoDB) and SQL databases (e.g., MySQL, PostgreSQL).

Familiarity with cloud platforms such as AWS, Azure, or Google Cloud.

Proficiency in Git and version control systems.

Knowledge of authentication and authorization mechanisms (JWT, OAuth).

Experience with unit testing and integration testing frameworks (e.g., Mocha, Jest).

Familiarity with containerization technologies like Docker is a plus.

Strong understanding of responsive web design and front\\-end optimization techniques.

Preferred Qualifications:

Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent practical experience).

1 years of experience as a Full Stack Developer.

Experience with CI/CD pipelines and modern DevOps practices.

Familiarity with Agile/Scrum development methodologies.

Strong problem\\-solving skills and attention to detail.

Excellent communication skills and ability to work collaboratively in a team environment.

Why Join Dione Software?:

Opportunity to work with cutting\\-edge technologies in a fast\\-paced, innovative environment.

Collaborative, inclusive, and growth\\-oriented culture.

Competitive salary and benefits package.

Flexible working hours and remote work options.

Career growth opportunities with continuous learning and development.

Job Type: Full\\-time

Work Location: In person

Application Deadline: 04/01/2025","","https://pk.indeed.com/cmp/Dione","","","","","",""
"in-d9ad6083a873bb57","indeed","https://pk.indeed.com/viewjob?jk=d9ad6083a873bb57","http://pk.indeed.com/job/software-quality-assurance-engineer-d9ad6083a873bb57","Software Quality Assurance Engineer","DynamoLogic Solutions","Islamabad, PIS, PK","2024-12-27","fulltime","direct_data","yearly",635418.0,804581.0,"USD",False,"","","","","**DynamoLogic Solutions** is looking for a Software Quality Assurance Engineer for a hybrid and full\\-time position to develop and execute web and software testing in order to ensure product quality.  
As a QA Engineer, you will estimate, plan, and coordinate testing activities. You will also ensure that quality issues and defects are appropriately identified, documented, tracked, and resolved in our defect\\-tracking system.  
**Responsibilities**

* Review requirements specifications and technical design documents to provide timely and meaningful feedback
* Create detailed, comprehensive and well\\-structured test plans and test cases
* Identify, record, document thoroughly and track bugs
* Perform thorough regression testing when bugs are resolved
* Prioritize test cases to ensure the highest risk and most important test cases are executed first.
* Lead a team of developers and collaborate with other teams to deliver the projects timely.

**Requirements**

* BS/MS degree in Computer Science, Engineering or a related subject
* 1\\+ years of experience in software quality assurance
* Strong knowledge of software QA methodologies, tools, and processes
* Experience in writing clear, concise and comprehensive test plans and test cases
* Ability to work independently with little direction
* Hands\\-on experience with both white box and black box testing
* Hands\\-on experience with WordPress or CRM testing
* Excellent verbal \\& written communication skills
* Knowledge in PHP, MySQL and JavaScript will be a big plus.
* Client handling and leadership skills to maintain and streamline the projects

**Employment Type**  
**Full\\-time and Hybrid**

Job Type: Full\\-time

Pay: Rs50,000\\.00 \\- Rs70,000\\.00 per month

Application Question(s):

* Please fill this form for further consideration: https://forms.gle/AB8YYb5Mb96hb7PX8","","https://pk.indeed.com/cmp/Dynamologic-Solutions","","https://www.dynamologic.com","Islamabad","51 to 200","",""
"in-d1b4ffb53d8048c6","indeed","https://pk.indeed.com/viewjob?jk=d1b4ffb53d8048c6","http://pk.indeed.com/job/junior-engineer-d1b4ffb53d8048c6","Junior Engineer","Ansaar Management Company","Attock, PPB, PK","2024-12-27","fulltime","direct_data","yearly",635418.0,804581.0,"USD",False,"","","","","**Contract: 5 Months**

**Experience: 3\\-5 Years**

**Location: OGDC \\- Attock**

**Job description:** 

· To collect engineering data for estimation.

· To supervise and see that all original and maintenance works under his/her charge are done according to the specifications, drawings, standards laid down and approved samples.

· To arrange for the materials T\\&P from store/ by purchase from the market, issue materials, T\\&P to contractors/ works at the proper time so that there won’t be any obstruction in the execution of work.

· To keep materials, T\\&P in is custody and care, maintain proper accounts of receipts, issues and balances, arrange adequate watch and ward.

· To record measurements of work done by contractor.

· To prepare abstract of measurements at the time of preparation of bills.

· To prepare the recovery statements for the materials/ T\\&P supplied to contractors or other services rendered by the department and send them to the Engineer in Charge for effecting recovery.

· To submit progress report of works as may be required by his superiors and to bring to the notice of his immediate superiors about hindrances to the execution of work.

· To initiate action for disposal of surplus/unserviceable materials/T\\&P.

· Physical verification of stores/T\\&P every six months.

· Preparation of annual maintenance estimates, estimates for additions, alterations of existing installations, estimates for pretty new installations.

· Preparation of estimates for various works, collection of plans and details of items available in the market.

· To assist the Engineer in Charge in all the duties and responsibilities.

· To carry out any other work assigned as per the requirements

· Discharge all other duties that may be assigned from time to time.

**Requirement:** 

* Civil engineer or DAE Civil or related field
* 3\\-5 years’ experience in civil works
* Proficient in AutoCAD, Civil 3D, Microsoft Office Suite, and other relevant software programs
* Strong analytical and problem\\-solving skills
* Excellent written and verbal communication skills
* Ability to work independently and as part of a team

Job Type: Full\\-time

Pay: Rs60,000\\.00 per month","","https://pk.indeed.com/cmp/Ansaar-Management-Company-2","","","","","",""
"in-f4f1970cba0e5c7e","indeed","https://pk.indeed.com/viewjob?jk=f4f1970cba0e5c7e","http://pk.indeed.com/job/full-stack-engineer-f4f1970cba0e5c7e","Full Stack Engineer","Gitwork Pakistan","Islamabad, PIS, PK","2024-12-27","fulltime","","","","","",False,"","","","","**Job Title:** Full Stack Engineer  
**Experience:** 6 Months to 1 Year  
**Location:** I\\-10/3, Islamabad  
**Working Hours:** UK Timings (12:00 PM to 9:00 PM)

**Job Description**

We are seeking a talented and motivated **Full Stack Engineer** to join our growing team in Islamabad. The ideal candidate will have a strong foundation in both front\\-end and back\\-end development, with the ability to deliver robust and scalable web applications.

**Key Responsibilities**

* Design, develop, and maintain web applications using modern full\\-stack technologies.
* Collaborate with cross\\-functional teams to deliver high\\-quality solutions.
* Develop and integrate APIs to ensure seamless functionality.
* Optimize applications for performance, scalability, and responsiveness.
* Troubleshoot, debug, and resolve issues in applications.
* Write clean, efficient, and maintainable code following industry best practices.
* Stay updated with emerging technologies and apply them in projects when relevant.

**Requirements**

* **Experience:** 6 months to 1 year in full\\-stack development.
* **Education:** Bachelor’s degree in Computer Science, Software Engineering, or a related field (preferred but not mandatory).
* **Technical Skills:**
* **Front\\-end:** Proficiency in HTML, CSS, JavaScript, and frameworks like React or Angular.
* **Back\\-end:** Hands\\-on experience with Node.js, Express.js, or similar technologies.
* **Database:** Experience with databases such as MongoDB, MySQL, or PostgreSQL.
* **Version Control:** Familiarity with Git/GitHub for version control.
* **APIs:** Strong understanding of RESTful APIs and third\\-party integrations.
* **Soft Skills:**
* Excellent problem\\-solving and analytical skills.
* Strong communication and teamwork abilities.
* Willingness to learn and adapt to new technologies.

**What We Offer**

* Competitive salary package.
* Friendly and professional work environment.
* Opportunity to work with a dynamic and talented team. Exposure to international clients and projects. Subsidized Lunch.

If you are passionate about building exceptional web applications and meet the above criteria, we would love to hear from you.

Job Type: Full\\-time","","https://pk.indeed.com/cmp/Gitwork-Pakistan","","","","","",""
"in-552bc0d90ed9a011","indeed","https://pk.indeed.com/viewjob?jk=552bc0d90ed9a011","http://pk.indeed.com/job/ibm-hacp-552bc0d90ed9a011","IBM HACP","KTH HR Consulting zone","Rawalpindi, PPB, PK","2024-12-27","fulltime","","","","","",False,"","","","","**IBM HACP**

Job Title: Software Engineer – IBM Distributed Software (IBM Host Access Client Package)

Position Overview: We are seeking a highly skilled Software Engineer with expertise in IBM Distributed Software, particularly focusing on the IBM Host Access Client Package (HACP). In this role, you will be responsible for designing, developing, and optimizing software solutions that leverage IBM HACP for seamless integration and management of host\\-based applications and systems. You will play a crucial role in improving access to mainframe and midrange systems, enhancing productivity and operational efficiency.

**Key Responsibilities:**

**Design and Development:**

* Develop and maintain software solutions that integrate with IBM Host Access Client Package (HACP) to enhance host\\-based application access and management.
* Implement features and functionalities using IBM HACP components, including IBM Personal Communications and IBM i Access Client Solutions, to support various business needs.

**IBM HACP Management:**

* Configure and manage IBM Host Access Client Package environments, ensuring proper integration with host systems such as IBM mainframes and IBM iSeries (AS/400\\).
* Develop and implement solutions for secure and efficient access to host applications and data.

**Integration and Optimization:**

* Integrate IBM HACP with existing enterprise systems to facilitate smooth interactions between host and client applications.
* Optimize performance and reliability of host access solutions, addressing issues related to connectivity, security, and user experience.

**Technical Support and Troubleshooting:**

* Provide technical support for issues related to IBM Host Access Client Package, including diagnosing problems, debugging, and implementing fixes.
* Collaborate with support teams and stakeholders to resolve technical challenges and improve system stability.

**Documentation and Reporting:**

* Create and maintain comprehensive documentation for IBM HACP configurations, integration procedures, and troubleshooting guides.
* Prepare and present regular reports on system performance, project progress, and key metrics to stakeholders.

**Collaboration and Continuous Improvement:**

* Work closely with cross\\-functional teams, including system administrators, business analysts, and IT support, to gather requirements and deliver effective solutions.
* Stay current with industry trends and advancements in host access technologies and distributed systems. Propose and implement improvements to enhance system capabilities and user experience.

**• Incident and Service Management:**

* Understand and adhere to SLA and infrastructure policies, managing incidents and service requests efficiently.
* Handle P1 and P2 incidents, providing on\\-call support as required.
* Upgrade or migrate systems and perform interim or fixpack installations as needed.
* Understand and address security vulnerabilities by reading and interpreting security bulletins.

**Qualifications:**

* **Education:** Bachelor’s degree in Computer Science, Information Systems, Engineering, or a related field. Advanced degrees or relevant certifications (e.g., IBM Certified Specialist) are a plus.
* **Experience:** Minimum of 2 years of experience working with IBM Host Access Client Package (HACP) and related distributed software solutions. Proven experience in integrating and managing host\\-based applications is required.

**Technical Skills:**

* Proficiency with IBM Host Access Client Package components, including IBM Personal Communications and IBM i Access Client Solutions.
* Strong understanding of mainframe and midrange systems, including IBM z/OS and IBM iSeries (AS/400\\).
* Experience with network protocols and security measures for host access.
* Familiarity with scripting languages (e.g., Python, Shell) for automation and process optimization.
* Knowledge of distributed computing principles and related technologies.

Job Type: Full\\-time

Pay: Rs500,000\\.00 \\- Rs745,044\\.00 per month

Experience:

* IBM z/OS and IBM iSeries (AS/400\\): 3 years (Preferred)
* Python, Shell: 3 years (Preferred)
* IBM Host Access Client Package (HACP): 3 years (Required)
* IBM Certified Specialist: 3 years (Required)
* IBM Personal Communications: 4 years (Preferred)
* IBM i Access Client Solutions.: 3 years (Preferred)","","https://pk.indeed.com/cmp/Kth-HR-Consulting-Zone-5","","","","","",""
"in-b7d2b2d6f732f5cc","indeed","https://pk.indeed.com/viewjob?jk=b7d2b2d6f732f5cc","http://pk.indeed.com/job/flutter-developer-swift-expertise-b7d2b2d6f732f5cc","Flutter Developer with Swift Expertise","TechNest.pk","Islamabad, PIS, PK","2024-12-27","fulltime","","","","","",False,"","","","","**Job:**  Flutter Developer with Swift Expertise

**Experience:** 3\\+ years in Flutter development, 1\\+ year in Swift

**Location:** G\\-8/1 Islamabad, Pakistan

**Job Type**: Full\\-Time, Onsite

**Job timing:** 09:00 am to 06:00 pm

**Job Description:**

We are seeking a highly skilled and experienced ""**Flutter developer with additional expertise in Swift""** to join our team.

**Job Responsibilities**:

* Develop high\\-quality, scalable, and maintainable mobile applications using Flutter.
* Integrate and enhance iOS\\-specific functionalities using Swift.
* Collaborate with cross\\-functional teams, including designers, QA engineers, and backend developers, to define, design, and ship new features.
* Optimize application performance and ensure a seamless user experience on both Android and iOS platforms.
* Debug and resolve issues, bottlenecks, and performance problems.
* Maintain up\\-to\\-date knowledge of emerging tools, frameworks, and technologies relevant to mobile development.

**Job specification:**

* **Flutter**: 3\\+ years of hands\\-on experience in Flutter development with a strong portfolio of published apps.
* **Swift**: At least 2 years of experience in Swift for native iOS development.
* Bachelor’s degree in Computer Science, Software Engineering, or a related field.
* Proficient in Dart programming language.
* Experience integrating RESTful APIs and third\\-party libraries.
* Solid understanding of mobile application architecture patterns (e.g., BLoC, Provider, MVVM).
* Familiarity with native iOS frameworks and components (e.g., UIKit, CoreData, AVFoundation).
* Knowledge of version control systems, especially Git.
* Strong problem\\-solving skills with a passion for clean and efficient code.

Job Type: Full\\-time

Application Deadline: 05/01/2025","","https://pk.indeed.com/cmp/Technest.pk","","","","","",""
"in-5635964a989e9d3c","indeed","https://pk.indeed.com/viewjob?jk=5635964a989e9d3c","http://pk.indeed.com/job/software-quality-assurancesqa-intern-5635964a989e9d3c","Software Quality Assurance(SQA) Intern","Sikaram Technologies","Islamabad, PIS, PK","2024-12-27","internship","","","","","",False,"","","","","As a Quality Assurance Engineer (Intern), you will be responsible for creating and implementing a strategy for quality coordination and testing as well as suggesting solutions to identified quality problems.

**Responsibilities**

* Reporting day to day activities to the Project Manager.
* Facilitates daily stand\\-up, iteration planning, sprint review, and the iteration retrospective
* Manage, monitor, and motivate the cross\\-functional team assigned to the project.
* Coordinates project activities and ensure all project phases are documented appropriately.
* Deliverable Review before sending to Client
* Track project accomplishments and manage timelines of all the projects.

**Qualifications/Requirements**

* Willing to pursue career in QA and agile project management and learn new technologies
* Familiar with common software development practices and Agile practices
* Excellent verbal and written communication skills in English
* Knowledge of software project management tools is a plus
* Experience of QA, SCRUM or being a part of development process is a plus

Job Type: Internship

Application Deadline: 20/01/2025","","https://pk.indeed.com/cmp/Sikaram-Technologies","","https://sikaram.net","","11 to 50","",""
